Subject,Trigger,Prime,List,Target,StemID,Correct_Response,Target.RESP,Target.ACC,Target.RT,Target.RT.trm.err
7,57,mister,List1,mist,57,6,6,1,471,471
7,58,raptor,List1,rapt,58,6,6,1,663,663
7,59,flower,List2,flow,59,6,6,1,554,554
7,60,traitor,List2,trait,60,6,6,1,528,528
7,61,limber,List2,limb,61,6,6,1,629,629
7,62,hunger,List2,hung,62,6,5,0,286,NA
7,63,pollen,List2,poll,63,6,6,1,522,522
7,64,vanish,List2,van,64,6,6,1,483,483
7,65,helpless,List1,help,65,6,6,1,544,544
7,66,chiefly,List1,chief,66,6,6,1,509,509
7,67,strongly,List1,strong,67,6,6,1,428,428
7,68,deafness,List1,deaf,68,6,6,1,480,480
7,69,deadly,List1,dead,69,6,6,1,453,453
7,70,sickness,List1,sick,70,6,6,1,471,471
7,71,worthless,List1,worth,71,6,6,1,518,518
7,72,thankless,List1,thank,72,6,6,1,451,451
7,73,toothless,List1,tooth,73,6,6,1,498,498
7,74,weakness,List2,weak,74,6,6,1,461,461
7,75,greatly,List2,great,75,6,6,1,527,527
7,76,illness,List2,ill,76,6,6,1,617,617
7,77,calmness,List2,calm,77,6,6,1,487,487
7,78,deathlike,List2,death,78,6,6,1,742,742
7,79,waiflike,List2,waif,79,6,5,0,649,NA
7,80,highly,List2,high,80,6,6,1,591,591
7,81,stainless,List2,stain,81,6,6,1,534,534
7,82,warlike,List2,war,82,6,6,1,488,488
7,83,tractor,List1,tract,83,6,6,1,872,872
7,84,sculptor,List1,sculpt,84,6,5,0,485,NA
7,85,selfish,List1,self,85,6,6,1,495,495
7,86,freshen,List1,fresh,86,6,6,1,459,459
7,87,debtor,List1,debt,87,6,5,0,555,NA
7,88,prayer,List1,pray,88,6,6,1,491,491
7,89,professor,List1,profess,89,6,6,1,796,796
7,90,soften,List1,soft,90,6,6,1,510,510
7,91,fasten,List1,fast,91,6,6,1,579,579
7,92,drawer,List2,draw,92,6,5,0,503,NA
7,93,greenish,List2,green,93,6,6,1,474,474
7,94,bookish,List2,book,94,6,6,1,485,485
7,95,drunken,List2,drunk,95,6,6,1,538,538
7,96,foolish,List2,fool,96,6,6,1,472,472
7,97,freakish,List2,freak,97,6,6,1,480,480
7,98,flaxen,List2,flax,98,6,6,1,493,493
7,99,hunter,List2,hunt,99,6,6,1,525,525
7,100,sailor,List2,sail,100,6,6,1,476,476
7,101,kindling,List2,bread,1,6,6,1,470,470
7,102,dumpling,List2,hear,2,6,6,1,499,499
7,103,random,List2,you,3,6,6,1,419,419
7,104,breadth,List1,kind,4,6,6,1,591,591
7,105,hearth,List1,dump,5,6,6,1,390,390
7,106,youth,List1,ran,6,6,6,1,561,561
7,107,pillory,List1,dear,7,6,6,1,637,637
7,108,hickory,List2,car,8,6,6,1,491,491
7,109,auditory,List2,rat,9,6,6,1,596,596
7,110,testify,List2,fact,10,6,6,1,478,478
7,111,dearth,List2,pill,11,6,6,1,455,455
7,112,career,List1,hick,12,6,6,1,559,559
7,113,ratify,List1,audit,13,6,5,0,572,NA
7,114,factory,List1,test,14,6,6,1,630,630
7,115,boredom,List2,seed,15,6,6,1,475,475
7,116,tenth,List2,warm,16,6,6,1,473,473
7,117,freedom,List2,four,17,6,5,0,451,NA
7,118,kingdom,List2,boy,18,6,6,1,419,419
7,119,sapling,List2,eleven,19,6,5,0,589,NA
7,120,earthling,List2,six,20,6,6,1,688,688
7,121,growth,List2,duck,21,6,6,1,484,484
7,122,serfdom,List2,star,22,6,6,1,468,468
7,123,health,List2,man,23,6,6,1,522,522
7,124,seedling,List1,bore,24,6,6,1,932,932
7,125,warmth,List1,ten,25,6,6,1,674,674
7,126,fourth,List1,free,26,6,6,1,466,466
7,127,boyhood,List1,king,27,6,6,1,501,501
7,128,eleventh,List1,sap,28,6,6,1,564,564
7,129,sixth,List1,earth,29,6,6,1,495,495
7,130,duckling,List1,grow,30,6,6,1,494,494
7,131,stardom,List1,serf,31,6,5,0,606,NA
7,132,manhood,List1,heal,32,6,6,1,517,517
7,133,classify,List2,cash,33,6,6,1,454,454
7,134,hotelier,List2,solid,34,6,6,1,512,512
7,135,marketeer,List2,fort,35,6,6,1,534,534
7,136,justify,List2,profit,36,6,5,0,620,NA
7,137,courtier,List2,direct,37,6,6,1,653,653
7,138,nullify,List2,arm,38,6,6,1,505,505
7,139,racketeer,List2,acid,39,6,6,1,592,592
7,140,musketeer,List2,front,40,6,6,1,531,531
7,141,clothier,List2,humid,41,6,6,1,614,614
7,142,cashier,List1,class,42,6,6,1,494,494
7,143,solidify,List1,hotel,43,6,6,1,486,486
7,144,fortify,List1,market,44,6,6,1,459,459
7,145,profiteer,List1,just,45,6,6,1,463,463
7,146,directory,List1,court,46,6,6,1,580,580
7,147,armory,List1,null,47,6,6,1,640,640
7,148,acidify,List1,racket,48,6,6,1,620,620
7,149,frontier,List1,musket,49,6,6,1,530,530
7,150,humidify,List1,cloth,50,6,6,1,558,558
7,151,imply,List2,wit,51,6,6,1,564,564
7,152,witness,List1,imp,52,6,5,0,871,NA
7,153,flower,List2,list,53,6,6,1,654,654
7,154,traitor,List2,past,54,6,6,1,488,488
7,155,limber,List2,ban,55,6,5,0,714,NA
7,156,hunger,List2,heath,56,6,6,1,432,432
7,157,pollen,List2,mist,57,6,6,1,522,522
7,158,vanish,List2,rapt,58,6,6,1,606,606
7,159,listen,List1,flow,59,6,5,0,498,NA
7,160,pastor,List1,trait,60,6,6,1,620,620
7,161,banish,List1,limb,61,6,6,1,609,609
7,162,heathen,List1,hung,62,6,6,1,511,511
7,163,mister,List1,poll,63,6,6,1,575,575
7,164,raptor,List1,van,64,6,6,1,478,478
7,165,weakness,List2,help,65,6,6,1,671,671
7,166,greatly,List2,chief,66,6,6,1,629,629
7,167,illness,List2,strong,67,6,6,1,487,487
7,168,calmness,List2,deaf,68,6,6,1,768,768
7,169,deathlike,List2,dead,69,6,6,1,446,446
7,170,waiflike,List2,sick,70,6,6,1,511,511
7,171,highly,List2,worth,71,6,,0,,NA
7,172,stainless,List2,thank,72,6,6,1,601,601
7,173,warlike,List2,tooth,73,6,6,1,505,505
7,174,helpless,List1,weak,74,6,6,1,561,561
7,175,chiefly,List1,great,75,6,6,1,369,369
7,176,strongly,List1,ill,76,6,6,1,576,576
7,177,deafness,List1,calm,77,6,6,1,517,517
7,178,deadly,List1,death,78,6,6,1,388,388
7,179,sickness,List1,waif,79,6,5,0,634,NA
7,180,worthless,List1,high,80,6,6,1,626,626
7,181,thankless,List1,stain,81,6,6,1,495,495
7,182,toothless,List1,war,82,6,6,1,419,419
7,183,drawer,List2,tract,83,6,5,0,580,NA
7,184,greenish,List2,sculpt,84,6,6,1,611,611
7,185,bookish,List2,self,85,6,6,1,518,518
7,186,drunken,List2,fresh,86,6,6,1,594,594
7,187,foolish,List2,debt,87,6,6,1,596,596
7,188,freakish,List2,pray,88,6,6,1,500,500
7,189,flaxen,List2,profess,89,6,6,1,441,441
7,190,hunter,List2,soft,90,6,6,1,498,498
7,191,sailor,List2,fast,91,6,6,1,509,509
7,192,tractor,List1,draw,92,6,6,1,431,431
7,193,sculptor,List1,green,93,6,6,1,523,523
7,194,selfish,List1,book,94,6,6,1,676,676
7,195,freshen,List1,drunk,95,6,6,1,448,448
7,196,debtor,List1,fool,96,6,6,1,542,542
7,197,prayer,List1,freak,97,6,6,1,491,491
7,198,professor,List1,flax,98,6,6,1,492,492
7,199,soften,List1,hunt,99,6,6,1,652,652
7,200,fasten,List1,sail,100,6,6,1,640,640
7,245,candify,List1,cand,106,5,5,1,803,803
7,245,reindeer,List2,reind,121,5,5,1,1226,NA
7,245,territory,List2,territ,111,5,5,1,561,561
7,245,terrify,List1,terr,140,5,5,1,772,772
7,245,dandify,List1,dand,117,5,5,1,541,541
7,245,droning,List1,dron,121,5,5,1,509,509
7,245,lopping,List1,lopp,148,5,5,1,598,598
7,245,forcing,List1,forc,127,5,5,1,678,678
7,245,parading,List1,parad,150,5,5,1,646,646
7,245,gouging,List1,goug,144,5,6,0,598,NA
7,245,fumify,List1,fum,129,5,5,1,574,574
7,245,competing,List1,compet,113,5,5,1,688,688
7,245,amplifier,List1,amplif,101,5,5,1,681,681
7,245,blaming,List1,blam,105,5,5,1,506,506
7,245,territory,List1,territ,141,5,5,1,578,578
7,245,arising,List1,aris,104,5,5,1,523,523
7,245,comparing,List1,compar,112,5,5,1,771,771
7,245,garaging,List1,garag,142,5,5,1,572,572
7,245,nippier,List1,nipp,133,5,6,0,501,NA
7,245,forging,List1,forg,128,5,5,1,664,664
7,245,stratify,List1,strat,139,5,5,1,712,712
7,245,culpatory,List1,culpat,116,5,5,1,625,625
7,245,lonelier,List1,lonel,131,5,5,1,515,515
7,245,purifier,List1,purif,137,5,6,0,421,NA
7,245,flimsier,List1,flims,126,5,6,0,454,NA
7,245,crating,List1,crat,115,5,5,1,527,527
7,245,clarify,List1,clar,109,5,6,0,337,NA
7,245,ropier,List1,rop,138,5,6,0,346,NA
7,245,nuttier,List1,nutt,134,5,6,0,546,NA
7,245,clumsier,List1,clums,110,5,5,1,666,666
7,245,hiking,List1,hik,146,5,5,1,667,667
7,245,felicify,List1,felic,125,5,5,1,662,662
7,245,amusing,List1,amus,102,5,5,1,567,567
7,245,punitory,List1,punit,136,5,5,1,824,824
7,245,emulatory,List1,emulat,123,5,5,1,465,465
7,245,grating,List1,grat,145,5,5,1,729,729
7,245,hortatory,List1,hortat,130,5,5,1,489,489
7,245,merging,List1,merg,149,5,5,1,553,553
7,245,certify,List1,cert,108,5,5,1,562,562
7,245,dizzier,List1,dizz,120,5,5,1,858,858
7,245,emptier,List1,empt,122,5,5,1,619,619
7,245,dinkier,List1,dink,119,5,5,1,716,716
7,245,apprising,List1,appris,103,5,5,1,581,581
7,245,dilatory,List1,dilat,118,5,5,1,654,654
7,245,peskier,List1,pesk,135,5,6,0,520,NA
7,245,gliding,List1,glid,143,5,5,1,969,969
7,245,emulsify,List1,emuls,124,5,5,1,491,491
7,245,conditory,List1,condit,114,5,6,0,519,NA
7,245,impeding,List1,imped,147,5,5,1,872,872
7,245,comelier,List1,comel,111,5,5,1,761,761
7,245,monitory,List1,monit,132,5,5,1,538,538
7,245,capturing,List1,captur,107,5,5,1,578,578
7,245,piscatory,List2,piscat,144,5,5,1,561,561
7,245,celestify,List2,celest,114,5,5,1,474,474
7,245,senatory,List2,senat,131,5,5,1,613,613
7,245,mutineer,List2,mutin,113,5,5,1,542,542
7,245,calcify,List2,calc,134,5,5,1,494,494
7,245,sensify,List2,sens,119,5,5,1,704,704
7,245,curatory,List2,curat,108,5,5,1,576,576
7,245,arbory,List2,arb,107,5,5,1,633,633
7,245,domineer,List2,domin,112,5,5,1,514,514
7,245,stratify,List2,strat,141,5,6,0,915,NA
7,245,dormitory,List2,dormit,109,5,5,1,547,547
7,245,darling,List2,dar,145,5,5,1,635,635
7,245,monitory,List2,monit,126,5,5,1,468,468
7,245,refectory,List2,refect,129,5,6,0,684,NA
7,245,chevalier,List2,cheval,103,5,5,1,543,543
7,245,cavalier,List2,caval,101,5,6,0,751,NA
7,245,veneer,List2,ven,120,5,5,1,599,599
7,245,daintify,List2,daint,116,5,5,1,491,491
7,245,alkalify,List2,alkal,133,5,5,1,812,812
7,245,capacify,List2,capac,136,5,5,1,765,765
7,245,carbineer,List2,carbin,122,5,5,1,597,597
7,245,carnify,List2,carn,150,5,5,1,696,696
7,245,wisdom,List2,wis,147,5,5,1,601,601
7,245,adulatory,List2,adulat,105,5,5,1,529,529
7,245,revisory,List2,revis,130,5,5,1,770,770
7,245,signatory,List2,signat,132,5,5,1,634,634
7,245,modify,List2,mod,139,5,5,1,610,610
7,245,chandelier,List2,chandel,104,5,5,1,475,475
7,245,sibling,List2,sib,146,5,6,0,508,NA
7,245,rectory,List2,rect,128,5,5,1,726,726
7,245,excretory,List2,excret,124,5,5,1,1119,1119
7,245,dandify,List2,dand,117,5,6,0,824,NA
7,245,amatory,List2,amat,106,5,5,1,569,569
7,245,purgatory,List2,purgat,127,5,5,1,859,859
7,245,crematory,List2,cremat,149,5,5,1,676,676
7,245,olfactory,List2,olfact,110,5,5,1,628,628
7,245,terrify,List2,terr,142,5,5,1,620,620
7,245,donatory,List2,donat,123,5,5,1,559,559
7,245,prettify,List2,prett,140,5,6,0,720,NA
7,245,corporify,List2,corpor,115,5,5,1,697,697
7,245,damnatory,List2,damnat,143,5,5,1,537,537
7,245,diabolify,List2,diabol,137,5,5,1,594,594
7,245,calorify,List2,calor,135,5,5,1,578,578
7,245,brigadier,List2,brigad,102,5,5,1,517,517
7,245,fructify,List2,fruct,118,5,5,1,637,637
7,245,horrify,List2,horr,138,5,5,1,654,654
7,245,gustatory,List2,gustat,125,5,5,1,502,502
7,245,offertory,List2,offert,148,5,5,1,687,687
7,246,monger,List2,mong,177,5,5,1,594,594
7,246,trembly,List1,tremb,175,5,5,1,677,677
7,246,haziness,List1,hazi,180,5,5,1,943,943
7,246,barmen,List1,barm,151,5,5,1,793,793
7,246,fifteen,List1,fifte,154,5,5,1,505,505
7,246,worsen,List1,wors,159,5,5,1,538,538
7,246,aviator,List1,aviat,185,5,5,1,716,716
7,246,guinness,List1,guin,179,5,6,0,516,NA
7,246,literator,List1,literat,191,5,5,1,783,783
7,246,baroness,List1,baro,177,5,6,0,504,NA
7,246,tremor,List1,trem,195,5,5,1,874,874
7,246,alluminor,List1,allumin,183,5,5,1,698,698
7,246,bimonthly,List1,bimonth,165,5,5,1,700,700
7,246,variably,List1,variab,176,5,5,1,684,684
7,246,censor,List1,cens,186,5,5,1,740,740
7,246,angrily,List1,angri,164,5,5,1,572,572
7,246,writhen,List1,writh,160,5,5,1,565,565
7,246,brazen,List1,braz,152,5,5,1,615,615
7,246,advisor,List1,advis,182,5,5,1,681,681
7,246,tolerably,List1,tolerab,198,5,5,1,602,602
7,246,glibly,List1,glib,169,5,5,1,707,707
7,246,emperor,List1,emper,189,5,5,1,588,588
7,246,skirmish,List1,skirm,163,5,5,1,1285,NA
7,246,recaptor,List1,recapt,193,5,5,1,534,534
7,246,accusor,List1,accus,181,5,5,1,656,656
7,246,paritor,List1,parit,192,5,5,1,656,656
7,246,volubly,List1,volub,199,5,5,1,377,377
7,246,equably,List1,equab,168,5,5,1,593,593
7,246,happen,List1,happ,156,5,5,1,636,636
7,246,gotten,List1,gott,155,5,5,1,477,477
7,246,author,List1,auth,184,5,5,1,573,573
7,246,terribly,List1,terrib,197,5,5,1,598,598
7,246,cursor,List1,curs,187,5,5,1,664,664
7,246,spindly,List1,spind,172,5,5,1,680,680
7,246,dishevely,List1,disheve,167,5,5,1,808,808
7,246,treacly,List1,treac,174,5,5,1,504,504
7,246,stolen,List1,stol,158,5,5,1,673,673
7,246,colly,List1,col,166,5,5,1,706,706
7,246,humbly,List1,humb,170,5,5,1,754,754
7,246,devisor,List1,devis,188,5,6,0,450,NA
7,246,furbish,List1,furb,162,5,5,1,707,707
7,246,deaconess,List1,deaco,178,5,5,1,555,555
7,246,redactor,List1,redact,194,5,5,1,619,619
7,246,blemish,List1,blem,161,5,5,1,653,653
7,246,guarantor,List1,guarant,190,5,5,1,830,830
7,246,vector,List1,vect,196,5,5,1,671,671
7,246,wiggly,List1,wigg,200,5,5,1,920,920
7,246,rally,List1,ral,171,5,5,1,625,625
7,246,suitably,List1,suitab,173,5,5,1,570,570
7,246,kitchen,List1,kitch,157,5,5,1,802,802
7,246,broken,List1,brok,153,5,5,1,611,611
7,246,cluster,List2,clust,183,5,6,0,596,NA
7,246,aviator,List2,aviat,162,5,5,1,588,588
7,246,realtor,List2,realt,166,5,5,1,620,620
7,246,burden,List2,burd,168,5,6,0,461,NA
7,246,snakish,List2,snak,193,5,5,1,636,636
7,246,dander,List2,dand,182,5,5,1,701,701
7,246,comply,List2,comp,188,5,5,1,486,486
7,246,tinder,List2,tind,200,5,5,1,663,663
7,246,birth,List2,bir,186,5,6,0,432,NA
7,246,spindly,List2,spind,190,5,6,0,728,NA
7,246,flemish,List2,flem,158,5,5,1,585,585
7,246,brackish,List2,brack,192,5,6,0,562,NA
7,246,eternish,List2,etern,151,5,5,1,610,610
7,246,purply,List2,purp,189,5,5,1,628,628
7,246,sprightly,List2,spright,156,5,6,0,621,NA
7,246,varnish,List2,varn,160,5,5,1,1167,1167
7,246,creator,List2,creat,165,5,5,1,568,568
7,246,women,List2,wom,199,5,5,1,673,673
7,246,brinish,List2,brin,157,5,5,1,586,586
7,246,mirror,List2,mirr,197,5,5,1,1122,1122
7,246,belly,List2,bel,187,5,5,1,668,668
7,246,smoulder,List2,smould,173,5,6,0,446,NA
7,246,spoken,List2,spok,170,5,5,1,598,598
7,246,tamper,List2,tamp,175,5,5,1,543,543
7,246,simply,List2,simp,153,5,5,1,561,561
7,246,bachelor,List2,bachel,163,5,6,0,683,NA
7,246,aspirator,List2,aspirat,161,5,5,1,572,572
7,246,sprawly,List2,spraw,191,5,5,1,1765,NA
7,246,spinster,List2,spinst,174,5,5,1,717,717
7,246,betroth,List2,betro,185,5,5,1,494,494
7,246,condor,List2,cond,194,5,5,1,527,527
7,246,stamen,List2,stam,171,5,5,1,608,608
7,246,skirmish,List2,skirm,159,5,5,1,536,536
7,246,curator,List2,curat,195,5,5,1,601,601
7,246,trouser,List2,trous,172,5,5,1,921,921
7,246,broiden,List2,broid,167,5,5,1,740,740
7,246,brambly,List2,bramb,154,5,5,1,781,781
7,246,harbor,List2,harb,196,5,6,0,559,NA
7,246,grizzly,List2,grizz,155,5,6,0,543,NA
7,246,spearmen,List2,spearm,169,5,5,1,809,809
7,246,guinness,List2,guin,152,5,6,0,699,NA
7,246,jasper,List2,jasp,181,5,5,1,554,554
7,246,thunder,List2,thund,176,5,5,1,843,843
7,246,lichen,List2,lich,198,5,5,1,1195,1195
7,246,pamper,List2,pamp,178,5,5,1,630,630
7,246,corridor,List2,corrid,164,5,6,0,631,NA
7,246,clyster,List2,clyst,184,5,5,1,575,575
7,246,hamper,List2,hamp,180,5,5,1,584,584
7,246,semester,List2,semest,179,5,5,1,640,640
8,1,breadth,List1,bread,1,6,6,1,618,618
8,2,hearth,List1,hear,2,6,6,1,645,645
8,3,youth,List1,you,3,6,6,1,531,531
8,4,kindling,List2,kind,4,6,6,1,406,406
8,5,dumpling,List2,dump,5,6,6,1,835,835
8,6,random,List2,ran,6,6,6,1,483,483
8,7,dearth,List2,dear,7,6,6,1,545,545
8,8,career,List1,car,8,6,6,1,694,694
8,9,ratify,List1,rat,9,6,6,1,584,584
8,10,factory,List1,fact,10,6,6,1,900,900
8,11,pillory,List1,pill,11,6,6,1,720,720
8,12,hickory,List2,hick,12,6,6,1,448,448
8,13,auditory,List2,audit,13,6,6,1,647,647
8,14,testify,List2,test,14,6,6,1,481,481
8,15,seedling,List1,seed,15,6,6,1,467,467
8,16,warmth,List1,warm,16,6,6,1,492,492
8,17,fourth,List1,four,17,6,6,1,638,638
8,18,boyhood,List1,boy,18,6,6,1,445,445
8,19,eleventh,List1,eleven,19,6,6,1,574,574
8,20,sixth,List1,six,20,6,6,1,494,494
8,21,duckling,List1,duck,21,6,6,1,465,465
8,22,stardom,List1,star,22,6,6,1,439,439
8,23,manhood,List1,man,23,6,6,1,505,505
8,24,boredom,List2,bore,24,6,6,1,628,628
8,25,tenth,List2,ten,25,6,6,1,470,470
8,26,freedom,List2,free,26,6,6,1,499,499
8,27,kingdom,List2,king,27,6,6,1,741,741
8,28,sapling,List2,sap,28,6,6,1,587,587
8,29,earthling,List2,earth,29,6,6,1,474,474
8,30,growth,List2,grow,30,6,6,1,501,501
8,31,serfdom,List2,serf,31,6,6,1,605,605
8,32,health,List2,heal,32,6,6,1,598,598
8,33,cashier,List1,cash,33,6,6,1,631,631
8,34,solidify,List1,solid,34,6,6,1,484,484
8,35,fortify,List1,fort,35,6,6,1,856,856
8,36,profiteer,List1,profit,36,6,6,1,607,607
8,37,directory,List1,direct,37,6,6,1,652,652
8,38,armory,List1,arm,38,6,6,1,616,616
8,39,acidify,List1,acid,39,6,6,1,642,642
8,40,frontier,List1,front,40,6,6,1,667,667
8,41,humidify,List1,humid,41,6,6,1,607,607
8,42,classify,List2,class,42,6,6,1,663,663
8,43,hotelier,List2,hotel,43,6,6,1,733,733
8,44,marketeer,List2,market,44,6,6,1,511,511
8,45,justify,List2,just,45,6,6,1,462,462
8,46,courtier,List2,court,46,6,6,1,481,481
8,47,nullify,List2,null,47,6,6,1,834,834
8,48,racketeer,List2,racket,48,6,6,1,484,484
8,49,musketeer,List2,musket,49,6,6,1,577,577
8,50,clothier,List2,cloth,50,6,6,1,696,696
8,51,witness,List1,wit,51,6,6,1,729,729
8,52,imply,List2,imp,52,6,6,1,669,669
8,53,listen,List1,list,53,6,6,1,516,516
8,54,pastor,List1,past,54,6,5,0,720,NA
8,55,banish,List1,ban,55,6,6,1,634,634
8,56,heathen,List1,heath,56,6,6,1,1044,1044
8,57,mister,List1,mist,57,6,6,1,655,655
8,58,raptor,List1,rapt,58,6,6,1,930,930
8,59,flower,List2,flow,59,6,6,1,611,611
8,60,traitor,List2,trait,60,6,6,1,589,589
8,61,limber,List2,limb,61,6,6,1,556,556
8,62,hunger,List2,hung,62,6,6,1,606,606
8,63,pollen,List2,poll,63,6,5,0,889,NA
8,64,vanish,List2,van,64,6,6,1,589,589
8,65,helpless,List1,help,65,6,6,1,497,497
8,66,chiefly,List1,chief,66,6,6,1,562,562
8,67,strongly,List1,strong,67,6,6,1,543,543
8,68,deafness,List1,deaf,68,6,6,1,407,407
8,69,deadly,List1,dead,69,6,6,1,497,497
8,70,sickness,List1,sick,70,6,6,1,671,671
8,71,worthless,List1,worth,71,6,6,1,477,477
8,72,thankless,List1,thank,72,6,6,1,791,791
8,73,toothless,List1,tooth,73,6,6,1,610,610
8,74,weakness,List2,weak,74,6,6,1,663,663
8,75,greatly,List2,great,75,6,6,1,475,475
8,76,illness,List2,ill,76,6,6,1,464,464
8,77,calmness,List2,calm,77,6,6,1,382,382
8,78,deathlike,List2,death,78,6,6,1,466,466
8,79,waiflike,List2,waif,79,6,5,0,505,NA
8,80,highly,List2,high,80,6,6,1,381,381
8,81,stainless,List2,stain,81,6,6,1,520,520
8,82,warlike,List2,war,82,6,6,1,390,390
8,83,tractor,List1,tract,83,6,5,0,586,NA
8,84,sculptor,List1,sculpt,84,6,6,1,689,689
8,85,selfish,List1,self,85,6,6,1,557,557
8,86,freshen,List1,fresh,86,6,6,1,477,477
8,87,debtor,List1,debt,87,6,6,1,653,653
8,88,prayer,List1,pray,88,6,6,1,486,486
8,89,professor,List1,profess,89,6,5,0,830,NA
8,90,soften,List1,soft,90,6,6,1,577,577
8,91,fasten,List1,fast,91,6,6,1,704,704
8,92,drawer,List2,draw,92,6,6,1,613,613
8,93,greenish,List2,green,93,6,6,1,561,561
8,94,bookish,List2,book,94,6,6,1,404,404
8,95,drunken,List2,drunk,95,6,6,1,576,576
8,96,foolish,List2,fool,96,6,6,1,488,488
8,97,freakish,List2,freak,97,6,6,1,442,442
8,98,flaxen,List2,flax,98,6,6,1,483,483
8,99,hunter,List2,hunt,99,6,6,1,596,596
8,100,sailor,List2,sail,100,6,6,1,576,576
8,101,kindling,List2,bread,1,6,6,1,490,490
8,102,dumpling,List2,hear,2,6,6,1,476,476
8,103,random,List2,you,3,6,6,1,484,484
8,104,breadth,List1,kind,4,6,6,1,523,523
8,105,hearth,List1,dump,5,6,6,1,594,594
8,106,youth,List1,ran,6,6,6,1,597,597
8,107,pillory,List1,dear,7,6,6,1,504,504
8,108,hickory,List2,car,8,6,6,1,593,593
8,109,auditory,List2,rat,9,6,6,1,440,440
8,110,testify,List2,fact,10,6,6,1,636,636
8,111,dearth,List2,pill,11,6,6,1,517,517
8,112,career,List1,hick,12,6,6,1,887,887
8,113,ratify,List1,audit,13,6,6,1,666,666
8,114,factory,List1,test,14,6,6,1,605,605
8,115,boredom,List2,seed,15,6,6,1,478,478
8,116,tenth,List2,warm,16,6,6,1,465,465
8,117,freedom,List2,four,17,6,6,1,597,597
8,118,kingdom,List2,boy,18,6,6,1,547,547
8,119,sapling,List2,eleven,19,6,6,1,491,491
8,120,earthling,List2,six,20,6,6,1,527,527
8,121,growth,List2,duck,21,6,6,1,623,623
8,122,serfdom,List2,star,22,6,6,1,560,560
8,123,health,List2,man,23,6,6,1,391,391
8,124,seedling,List1,bore,24,6,6,1,501,501
8,125,warmth,List1,ten,25,6,6,1,555,555
8,126,fourth,List1,free,26,6,6,1,687,687
8,127,boyhood,List1,king,27,6,6,1,688,688
8,128,eleventh,List1,sap,28,6,6,1,916,916
8,129,sixth,List1,earth,29,6,6,1,619,619
8,130,duckling,List1,grow,30,6,6,1,522,522
8,131,stardom,List1,serf,31,6,5,0,786,NA
